issue | commit | idx | status | final | first crash | time to find first crash
5013 | b7e3bae | 250903-1708 | bug_Aborted^Aborted | X | id:000000,sig:06,src:003762,time:7798294,execs:1595383,op:havoc,rep:4 | 7798294
5013 | b7e3bae | 250903-1714 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000362,time:588602,execs:150367,op:havoc,rep:1 | 588602
5013 | b7e3bae | 250903-1720 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000981,time:1605508,execs:354584,op:havoc,rep:4 | 1605508
5013 | b7e3bae | 250903-1727 | bug_Aborted^Aborted | X | id:000000,sig:06,src:001410,time:1570129,execs:347287,op:havoc,rep:2 | 1570129
5013 | b7e3bae | 250903-1733 | bug_Aborted^Aborted | X | id:000000,sig:06,src:002219,time:2627166,execs:572313,op:havoc,rep:1 | 2627166
5013 | b7e3bae | 250826-2133 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000000,time:77924,execs:21821,op:havoc,rep:1 | 77924
5013 | b7e3bae | 250826-2139 | bug_stack-overflow^stack-overflow | X | id:000000,sig:06,src:000000,time:1403,execs:549,op:quick,pos:133 | 1403
5013 | b7e3bae | 250826-2145 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000002,time:136110,execs:36318,op:havoc,rep:2 | 136110
5013 | b7e3bae | 250826-2150 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:101758,execs:27723,op:havoc,rep:1 | 101758
5013 | b7e3bae | 250826-2156 | bug_Aborted^Aborted | X | id:000000,sig:06,src:002498+004647,time:12400773,execs:3000184,op:splice,rep:2 | 12400773
5138 | 70e275e | 250903-1708 | bug_^Aborted | B | id:000000,sig:06,src:000002,time:705,execs:428,op:quick,pos:82 | 705
5138 | 70e275e | 250903-1714 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:54741,execs:25020,op:havoc,rep:3 | 54741
5138 | 70e275e | 250903-1720 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:2417,execs:1056,op:flip1,pos:53 | 2417
5138 | 70e275e | 250903-1727 | bug_^Aborted | B | id:000000,sig:06,src:001317+001217,time:962052,execs:223246,op:splice,rep:2 | 962052
5138 | 70e275e | 250903-1733 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:727,execs:406,op:quick,pos:81 | 727
5138 | 70e275e | 250826-2133 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:189502,execs:46835,op:havoc,rep:4 | 189502
5138 | 70e275e | 250826-2139 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:1334,execs:503,op:quick,pos:80 | 1334
5138 | 70e275e | 250826-2145 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:1461,execs:535,op:quick,pos:109 | 1461
5138 | 70e275e | 250826-2150 | bug_^Aborted | B | id:000000,sig:06,src:000004,time:46326,execs:13949,op:havoc,rep:3 | 46326
5138 | 70e275e | 250826-2156 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:1228,execs:442,op:quick,pos:82 | 1228
5117 | 53b61c1 | 250903-1708 | bug_^Aborted | B | id:000003,sig:06,src:000205,time:358055,execs:101269,op:quick,pos:47 | 358055
5117 | 53b61c1 | 250903-1714 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:20568,execs:10465,op:havoc,rep:1 | 20568
5117 | 53b61c1 | 250903-1720 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:28471,execs:12649,op:havoc,rep:1 | 28471
5117 | 53b61c1 | 250903-1727 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:9601,execs:4807,op:havoc,rep:2 | 9601
5117 | 53b61c1 | 250903-1733 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:14354,execs:6985,op:havoc,rep:2 | 14354
5117 | 53b61c1 | 250826-2133 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:2530,execs:879,op:flip1,pos:66 | 2530
5117 | 53b61c1 | 250826-2139 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:130378,execs:33674,op:havoc,rep:2 | 130378
5117 | 53b61c1 | 250826-2145 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:151426,execs:38626,op:havoc,rep:3 | 151426
5117 | 53b61c1 | 250826-2150 | bug_^Aborted | B | id:000000,sig:06,src:000596+000002,time:295913,execs:73159,op:splice,rep:1 | 295913
5117 | 53b61c1 | 250826-2156 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:3559,execs:1167,op:flip2,pos:35 | 3559
5153 | 70e275e | 250903-1708 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:22131,execs:11019,op:havoc,rep:3 | 22131
5153 | 70e275e | 250903-1714 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:758,execs:448,op:quick,pos:86 | 758
5153 | 70e275e | 250903-1720 | bug_^Aborted | B | id:000000,sig:06,src:000003,time:33005,execs:15681,op:havoc,rep:2 | 33005
5153 | 70e275e | 250903-1727 | bug_^Aborted | B | id:000000,sig:06,src:000002,time:675,execs:393,op:quick,pos:80 | 675
5153 | 70e275e | 250903-1733 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:511,execs:296,op:quick,pos:56 | 511
5153 | 70e275e | 250826-2133 | bug_^Aborted | B | id:000000,sig:06,src:000001,time:1297,execs:504,op:quick,pos:99 | 1297
5153 | 70e275e | 250826-2139 | bug_^Aborted | B | id:000000,sig:06,src:000000,time:1404,execs:529,op:quick,pos:116 | 1404
5153 | 70e275e | 250826-2145 | bug_^Aborted | B | id:000000,sig:06,src:000002,time:48627,execs:14515,op:havoc,rep:3 | 48627
5153 | 70e275e | 250826-2150 | bug_^Aborted | B | id:000000,sig:06,src:000004,time:2383,execs:811,op:quick,pos:259 | 2383
5153 | 70e275e | 250826-2156 | bug_^Aborted | B | id:000000,sig:06,src:000549+000003,time:485703,execs:118019,op:splice,rep:3 | 485703
