issue | commit | idx | status | final | first crash | time to find first crash
5013 | 3686410 | 250903-2144 | bug_Aborted^ | B | id:000021,sig:06,src:000003,time:5972066,execs:1368576,op:havoc,rep:1 | 5972066
5013 | 3686410 | 250903-2150 | bug_Aborted^ | B | id:000001,sig:06,src:000001,time:5105772,execs:1180305,op:havoc,rep:2 | 5105772
5013 | 3686410 | 250903-2156 | bug_Aborted^ | B | id:000000,sig:06,src:000002,time:4214363,execs:998459,op:havoc,rep:2 | 4214363
5013 | 3686410 | 250903-2201 | bug_Aborted^ | B | id:000004,sig:06,src:000001,time:4989331,execs:1167084,op:havoc,rep:1 | 4989331
5013 | 3686410 | 250903-2208 | bug_Aborted^ | B | id:000004,sig:06,src:001137+000001,time:36381693,execs:8293567,op:splice,rep:1 | 36381693
5013 | 3686410 | 250825-2226 | bug_Aborted^ | B | id:000000,sig:06,src:000002,time:4827051,execs:1168290,op:havoc,rep:1 | 4827051
5013 | 3686410 | 250825-2228 | bug_Aborted^ | B | id:000000,sig:06,src:000000,time:80018,execs:22094,op:havoc,rep:1 | 80018
5013 | 3686410 | 250825-2230 | bug_Aborted^ | B | id:000004,sig:06,src:000004,time:4736545,execs:1147944,op:havoc,rep:2 | 4736545
5013 | 3686410 | 250825-2232 | bug_Aborted^ | B | id:000015,sig:06,src:000257,time:43204576,execs:8843424,op:havoc,rep:1 | 43204576
5013 | 3686410 | 250825-2234 | bug_Aborted^ | B | id:000000,sig:06,src:000000,time:109612,execs:23983,op:havoc,rep:1 | 109612
5138 | 95cc5e9 | 250903-2144 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000000,time:92073,execs:38476,op:havoc,rep:1 | 92073
5138 | 95cc5e9 | 250903-2150 | bug_Aborted^ | B | id:000114,sig:06,src:005836+006811,time:44086956,execs:9747397,op:splice,rep:1 | 44086956
5138 | 95cc5e9 | 250903-2156 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000001,time:30636,execs:14507,op:havoc,rep:2 | 30636
5138 | 95cc5e9 | 250903-2201 | bug_Aborted^ | B | id:000039,sig:06,src:006333,time:19596583,execs:4404687,op:havoc,rep:8 | 19596583
5138 | 95cc5e9 | 250903-2208 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000001,time:49072,execs:21633,op:havoc,rep:2 | 49072
5138 | 95cc5e9 | 250825-2226 | bug_Aborted^ | B | id:000104,sig:06,src:003631+002712,time:16504633,execs:3859587,op:splice,rep:2 | 16504633
5138 | 95cc5e9 | 250825-2228 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000000,time:248704,execs:60327,op:havoc,rep:1 | 248704
5138 | 95cc5e9 | 250825-2230 | none | X | id:000000,sig:06,src:000725+000682,time:510969,execs:107182,op:splice,rep:3 | 510969
5138 | 95cc5e9 | 250825-2232 | bug_Aborted^ | B | id:000130,sig:06,src:007426,time:43622044,execs:8926901,op:havoc,rep:3 | 43622044
5138 | 95cc5e9 | 250825-2234 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000000,time:98486,execs:21605,op:havoc,rep:1 | 98486
5117 | d7e2125 | 250903-2144 | bug_Aborted^ | B | id:000139,sig:06,src:007058,time:32037410,execs:7165197,op:havoc,rep:2 | 32037410
5117 | d7e2125 | 250903-2150 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000001,time:44769,execs:21322,op:havoc,rep:5 | 44769
5117 | d7e2125 | 250903-2156 | bug_Aborted^ | B | id:000065,sig:06,src:001250+000004,time:10788804,execs:2503377,op:splice,rep:2 | 10788804
5117 | d7e2125 | 250903-2201 | bug_Aborted^ | B | id:000341,sig:06,src:008033,time:85181073,execs:19469079,op:havoc,rep:1 | 85181073
5117 | d7e2125 | 250903-2208 | none | X | id:000000,sig:06,src:000003,time:5880,execs:3047,op:arith8,pos:27,val:+14 | 5880
5117 | d7e2125 | 250825-2226 | none | X | id:000000,sig:06,src:000000,time:27969,execs:9863,op:havoc,rep:1 | 27969
5117 | d7e2125 | 250825-2228 | bug_Aborted^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#5117_d7e2125_1_gpt-4o-2024-08-06_bug_Aborted^ | 0
5117 | d7e2125 | 250825-2230 | bug_Aborted^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#5117_d7e2125_1_gpt-4o-2024-08-06_bug_Aborted^ | 0
5117 | d7e2125 | 250825-2232 | bug_Aborted^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#5117_d7e2125_1_gpt-4o-2024-08-06_bug_Aborted^ | 0
5117 | d7e2125 | 250825-2234 | bug_Aborted^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#5117_d7e2125_1_gpt-4o-2024-08-06_bug_Aborted^ | 0
