issue | commit | idx | status | final | first crash | time to find first crash
13007 | 4c93955 | 260120-0706 | bug_^Segmentation fault | B | id:000157,sig:11,src:004555,time:13782281,execs:9486119,op:havoc,rep:2 | 13782281
13007 | 4c93955 | 260127-1224 | bug_^Segmentation fault | B | id:000070,sig:11,src:000366,time:1999932,execs:1532290,op:havoc,rep:1 | 1999932
13007 | 4c93955 | 260127-1230 | bug_^Segmentation fault | B | id:000000,sig:11,src:000001,time:6527,execs:5260,op:arith8,pos:81,val:+26 | 6527
13007 | 4c93955 | 260127-1241 | bug_^Segmentation fault | B | id:000163,sig:11,src:003939,time:11853530,execs:9853111,op:havoc,rep:1 | 11853530
13007 | 4c93955 | 260127-1246 | bug_Aborted^Aborted | X | id:000000,sig:06,src:000680,time:153261,execs:128579,op:havoc,rep:2 | 153261
13007 | 4c93955 | 260127-1251 | bug_^Segmentation fault | B | id:000077,sig:11,src:000437,time:3564191,execs:3078644,op:havoc,rep:1 | 3564191
13007 | 4c93955 | 260127-1256 | bug_^Aborted | B | id:000215,sig:06,src:001668,time:26679478,execs:21496907,op:havoc,rep:1 | 26679478
13007 | 4c93955 | 260127-1302 | bug_Aborted^Aborted | X | id:000000,sig:06,src:001102,time:597166,execs:527960,op:havoc,rep:2 | 597166
13007 | 4c93955 | 260127-1307 | bug_^Segmentation fault | B | id:000000,sig:11,src:000000,time:5712,execs:4853,op:arith8,pos:75,val:+26 | 5712
17733 | 5e9189d | 260120-0706 | bug_^Segmentation fault | B | id:000000,sig:11,src:004261,time:6496819,execs:4517770,op:havoc,rep:1 | 6496819
17733 | 5e9189d | 260127-1224 | none | N |  | 
17733 | 5e9189d | 260127-1230 | bug_^Segmentation fault | B | id:000000,sig:11,src:006912,time:32056604,execs:24008379,op:havoc,rep:3 | 32056604
17733 | 5e9189d | 260127-1236 | bug_^Segmentation fault | B | id:000000,sig:11,src:005226,time:58923305,execs:39557694,op:havoc,rep:3 | 58923305
17733 | 5e9189d | 260127-1241 | none | N |  | 
17733 | 5e9189d | 260127-1246 | bug_^Segmentation fault | B | id:000000,sig:11,src:002539,time:2725449,execs:2073992,op:havoc,rep:2 | 2725449
17733 | 5e9189d | 260127-1251 | bug_^Segmentation fault | B | id:000000,sig:11,src:003987,time:5211551,execs:4664291,op:havoc,rep:2 | 5211551
17733 | 5e9189d | 260127-1256 | bug_^Segmentation fault | B | id:000000,sig:11,src:003174,time:2067012,execs:1529346,op:havoc,rep:1 | 2067012
17733 | 5e9189d | 260127-1302 | bug_Aborted^Aborted | X | id:000000,sig:11,src:003653,time:2893698,execs:2320873,op:havoc,rep:3 | 2893698
17733 | 5e9189d | 260127-1307 | bug_Segmentation fault^Segmentation fault | X | id:000000,sig:11,src:007720,time:70625476,execs:55693452,op:havoc,rep:1 | 70625476
17815 | 69ead7d | 260120-0706 | bug_^Segmentation fault | B | id:000003,sig:11,src:007737,time:62959092,execs:43470819,op:havoc,rep:16 | 62959092
17815 | 69ead7d | 260127-1224 | bug_^Segmentation fault | B | id:000000,sig:11,src:006842+005223,time:26450341,execs:17912620,op:splice,rep:1 | 26450341
17815 | 69ead7d | 260127-1230 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17815 | 69ead7d | 260127-1236 | bug_^Segmentation fault | B | id:000000,sig:11,src:005878,time:18796463,execs:13219257,op:havoc,rep:5 | 18796463
17815 | 69ead7d | 260127-1241 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17815 | 69ead7d | 260127-1246 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17815 | 69ead7d | 260127-1251 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17815 | 69ead7d | 260127-1256 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17815 | 69ead7d | 260127-1302 | bug_^Segmentation fault | B | id:000000,sig:11,src:005271,time:18140685,execs:14174097,op:havoc,rep:2 | 18140685
17815 | 69ead7d | 260127-1307 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17815_69ead7d_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260120-0706 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1224 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1230 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1236 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1241 | bug_Segmentation fault^Segmentation fault | X | id:000000,sig:11,src:007083,time:26271323,execs:20864132,op:havoc,rep:2 | 26271323
17841 | e702046 | 260127-1246 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1251 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1256 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1302 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17841 | e702046 | 260127-1307 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17841_e702046_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260120-0706 | bug_^dumped core | B | id:000000,sig:08,src:000001,time:2446,execs:2456,op:flip4,pos:51 | 2446
17847 | 7e14680 | 260127-1224 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1230 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1236 | behave | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1241 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1246 | bug_^dumped core | B | id:000000,sig:08,src:002844,time:49009482,execs:37777488,op:havoc,rep:1 | 49009482
17847 | 7e14680 | 260127-1251 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1256 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1302 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#17847_7e14680_1_gpt-4o-2024-08-06_behave | 
17847 | 7e14680 | 260127-1307 | behave | D | id:000000,sig:11,src:000004,time:2253767,execs:1871790,op:havoc,rep:1 | 
