issue | commit | idx | status | final | first crash | time to find first crash
65 | 8c27b12 | 250905-2232 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2235 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2238 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2240 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2242 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2245 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2247 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2250 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_2_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2252 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
65 | 8c27b12 | 250905-2254 | bug_^heap-buffer-overflow | B | id:000000,time:0,execs:0,orig:TRIGGER_#65_8c27b12_1_gpt-4o-2024-08-06_bug_^heap-buffer-overflow | 0
141 | 832e069 | 250905-2232 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:003014,time:23863771,execs:5310228,op:havoc,rep:9 | 23863771
141 | 832e069 | 250905-2235 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001819,time:4192597,execs:883635,op:havoc,rep:1 | 4192597
141 | 832e069 | 250905-2238 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001027,time:13406357,execs:2991495,op:havoc,rep:13 | 13406357
141 | 832e069 | 250905-2240 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001623,time:37298857,execs:8504070,op:havoc,rep:2 | 37298857
141 | 832e069 | 250905-2242 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001490,time:3357036,execs:690003,op:havoc,rep:3 | 3357036
141 | 832e069 | 250905-2245 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001888,time:17487634,execs:3926491,op:havoc,rep:4 | 17487634
141 | 832e069 | 250905-2247 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:000839,time:7856636,execs:1782447,op:havoc,rep:1 | 7856636
141 | 832e069 | 250905-2250 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:002318,time:8423857,execs:1910963,op:havoc,rep:1 | 8423857
141 | 832e069 | 250905-2252 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001663,time:3478705,execs:735984,op:havoc,rep:7 | 3478705
141 | 832e069 | 250905-2254 | bug_heap-buffer-overflow^heap-buffer-overflow | X | id:000000,sig:06,src:001101,time:3693966,execs:774374,op:havoc,rep:4 | 3693966
145 | 4c7f6be | 250905-2232 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000002,time:6660,execs:1689,op:arith8,pos:17,val:-6 | 6660
145 | 4c7f6be | 250905-2235 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000001,time:206,execs:110,op:quick,pos:17 | 206
145 | 4c7f6be | 250905-2238 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000000,time:5724,execs:1435,op:arith8,pos:17,val:-6 | 5724
145 | 4c7f6be | 250905-2240 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000001,time:174,execs:83,op:quick,pos:12 | 174
145 | 4c7f6be | 250905-2242 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000004,time:775,execs:283,op:flip1,pos:10 | 775
145 | 4c7f6be | 250905-2245 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000002,time:1006,execs:326,op:flip1,pos:16 | 1006
145 | 4c7f6be | 250905-2247 | bug_^global-buffer-overflow | B | id:000000,sig:06,src:000002,time:304,execs:132,op:quick,pos:18 | 304
145 | 4c7f6be | 250905-2250 | bug_^heap-buffer-overflow | B | id:000000,sig:06,src:000000,time:174,execs:74,op:quick,pos:11 | 174
145 | 4c7f6be | 250905-2252 | bug_^heap-buffer-overflow | B | id:000000,sig:06,src:000001,time:4339,execs:1065,op:flip32,pos:18 | 4339
145 | 4c7f6be | 250905-2254 | bug_^heap-buffer-overflow | B | id:000000,sig:06,src:000002,time:14293,execs:3284,op:havoc,rep:1 | 14293
166 | 3f71a1c | 250905-2232 | none | D | id:005465,src:000314+002661,time:78938077,execs:17011791,op:splice,rep:2,+cov | 
166 | 3f71a1c | 250905-2235 | none | N |  | 
166 | 3f71a1c | 250905-2238 | none | D | id:000000,time:0,execs:0,orig:TRIGGER_#166_3f71a1c_1_gpt-4o-2024-08-06_behave | 
166 | 3f71a1c | 250905-2240 | none | D | id:003443,src:003371,time:16882536,execs:4046485,op:havoc,rep:2,+cov | 
166 | 3f71a1c | 250905-2242 | none | N |  | 
166 | 3f71a1c | 250905-2245 | none | D | id:004073,src:002941,time:22158795,execs:5325046,op:havoc,rep:1,+cov | 
166 | 3f71a1c | 250905-2247 | none | N |  | 
166 | 3f71a1c | 250905-2250 | none | D | id:005167,src:002678+004317,time:72502467,execs:15794039,op:splice,rep:3,+cov | 
166 | 3f71a1c | 250905-2252 | none | D | id:004304,src:004063,time:30658650,execs:7354409,op:havoc,rep:1,+cov | 
166 | 3f71a1c | 250905-2254 | none | D | id:000651,src:000441,time:590912,execs:142228,op:havoc,rep:2,+cov | 
