issue | commit | idx | status | final | first crash | time to find first crash
16777 | 18b18f0 | 250903-2305 | none | N |  | 
16777 | 18b18f0 | 250903-2310 | none | N |  | 
16777 | 18b18f0 | 250903-2315 | none | N |  | 
16777 | 18b18f0 | 250903-2320 | none | N |  | 
16777 | 18b18f0 | 250903-2326 | none | N |  | 
16777 | 18b18f0 | 250825-1737 | none | N |  | 
16777 | 18b18f0 | 250825-1740 | none | N |  | 
16777 | 18b18f0 | 250825-1744 | none | N |  | 
16777 | 18b18f0 | 250825-1747 | none | N |  | 
16777 | 18b18f0 | 250825-1750 | none | N |  | 
17463 | e4473ab | 250903-2305 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250903-2310 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250903-2315 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250903-2320 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250903-2326 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250825-1737 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250825-1740 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250825-1744 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250825-1747 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
17463 | e4473ab | 250825-1750 | bug_negative-size-param^ | B | id:000000,time:0,execs:0,orig:TRIGGER_#17463_e4473ab_1_gpt-4o-2024-08-06_bug_negative-size-param^ | 0
