issue | commit | idx | status | final | first crash | time to find first crash
5013 | 3686410 | 1 | none | X | baselines/waflgo_jerryscript_3686410_1/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 2 | none | X | baselines/waflgo_jerryscript_3686410_2/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 3 | none | X | baselines/waflgo_jerryscript_3686410_3/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 4 | none | X | baselines/waflgo_jerryscript_3686410_4/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 5 | none | X | baselines/waflgo_jerryscript_3686410_5/queue/id:000001,orig:CVE-2016-10133 | 
5013 | 3686410 | 6 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_3686410_6/crashes/id:000000,30315964,sig:06,src:000003,op:havoc,rep:2 | 
5013 | 3686410 | 7 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_3686410_7/crashes/id:000000,1790909,sig:06,src:000003,op:flip1,pos:41 | 
5013 | 3686410 | 8 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_3686410_8/crashes/id:000000,1639539,sig:06,src:000003,op:flip1,pos:41 | 
5013 | 3686410 | 9 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_3686410_9/crashes/id:000000,2849808,sig:06,src:000003,op:flip1,pos:41 | 
5013 | 3686410 | 10 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_3686410_10/crashes/id:000000,16438755,sig:06,src:002485,op:havoc,rep:2 | 
5138 | 95cc5e9 | 1 | none | X | baselines/waflgo_jerryscript_95cc5e9_1/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 2 | none | X | baselines/waflgo_jerryscript_95cc5e9_2/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 3 | none | X | baselines/waflgo_jerryscript_95cc5e9_3/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 4 | none | X | baselines/waflgo_jerryscript_95cc5e9_4/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 5 | none | X | baselines/waflgo_jerryscript_95cc5e9_5/queue/id:000001,orig:CVE-2016-10133 | 
5138 | 95cc5e9 | 6 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_95cc5e9_6/crashes/id:000000,187467,sig:06,src:000003,op:flip1,pos:41 | 
5138 | 95cc5e9 | 7 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_95cc5e9_7/crashes/id:000000,21640994,sig:06,src:001424,op:flip1,pos:41 | 
5138 | 95cc5e9 | 8 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_95cc5e9_8/crashes/id:000000,543996,sig:06,src:000003,op:flip1,pos:41 | 
5138 | 95cc5e9 | 9 | none | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_95cc5e9_9/crashes/id:000000,822043,sig:06,src:000003,op:flip1,pos:41 | 
5138 | 95cc5e9 | 10 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_95cc5e9_10/crashes/id:000000,983771,sig:06,src:000003,op:flip1,pos:41 | 
5117 | d7e2125 | 1 | none | X | baselines/waflgo_jerryscript_d7e2125_1/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 2 | none | X | baselines/waflgo_jerryscript_d7e2125_2/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 3 | none | X | baselines/waflgo_jerryscript_d7e2125_3/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 4 | none | X | baselines/waflgo_jerryscript_d7e2125_4/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 5 | none | X | baselines/waflgo_jerryscript_d7e2125_5/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 6 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_d7e2125_6/crashes/id:000021,44853848,sig:06,src:005325,op:havoc,rep:8 | 
5117 | d7e2125 | 7 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_d7e2125_7/crashes/id:000013,33897864,sig:06,src:004491,op:havoc,rep:2 | 
5117 | d7e2125 | 8 | none | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_d7e2125_8/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 9 | none | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_d7e2125_9/queue/id:000001,orig:CVE-2016-10133 | 
5117 | d7e2125 | 10 | none | X | /clever/fuzz/waflgo/out/waflgo_jerryscript_d7e2125_10/crashes/id:000014,7487864,sig:06,src:003240,op:havoc,rep:2 | 
