issue | commit | idx | status | final | first crash | time to find first crash
535 | 9a82b94 | 1 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_1/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 2 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_2/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 3 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_3/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 4 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_4/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 5 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_5/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 6 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_6/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 7 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_7/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 8 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_8/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 9 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_9/queue/id:000000,orig:dtd1 | orig:dtd1
535 | 9a82b94 | 10 | bug_^global-buffer-overflow | B | /clever/fuzz/waflgo/out/waflgo_libxml2_9a82b94_10/queue/id:000000,orig:dtd1 | orig:dtd1
550 | 74c84a8 | 1 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_1/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 2 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_2/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 3 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_3/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 4 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_4/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 5 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_5/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 6 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_6/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 7 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_7/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 8 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_8/queue/id:000013,orig:eve.dtd | 
550 | 74c84a8 | 9 | behave | D | /clever/fuzz/waflgo/out/waflgo_libxml2_74c84a8_9/queue/id:000013,orig:eve.dtd | 
