issue | commit | idx | status | final | first crash | time to find first crash
13007 | 4c93955 | 1 | none | N |  | 
13007 | 4c93955 | 2 | none | N |  | 
13007 | 4c93955 | 3 | none | N |  | 
13007 | 4c93955 | 4 | none | N |  | 
13007 | 4c93955 | 5 | none | N |  | 
13007 | 4c93955 | 6 | none | N |  | 
13007 | 4c93955 | 7 | none | N |  | 
13007 | 4c93955 | 8 | none | N |  | 
13007 | 4c93955 | 9 | none | N |  | 
13007 | 4c93955 | 10 | none | N |  | 
13041 | 1fef566 | 1 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_1/crashes/id:000000,42463516,sig:06,src:002690,op:havoc,rep:4 | 
13041 | 1fef566 | 2 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_2/crashes/id:000000,31304118,sig:11,src:001598,op:rbadd8,pos:3211 | 
13041 | 1fef566 | 3 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_3/crashes/id:000000,65363096,sig:06,src:002664,op:havoc,rep:2 | 
13041 | 1fef566 | 4 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_4/crashes/id:000000,7491614,sig:06,src:000672,op:rbadd8,pos:1502 | 
13041 | 1fef566 | 5 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_5/crashes/id:000000,41330122,sig:06,src:002617,op:int8,pos:783,val:+64 | 
13041 | 1fef566 | 6 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_6/crashes/id:000000,42647088,sig:06,src:002614,op:havoc,rep:4 | 
13041 | 1fef566 | 7 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_7/crashes/id:000000,62456665,sig:06,src:002715,op:havoc,rep:8 | 
13041 | 1fef566 | 8 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_8/crashes/id:000000,49962649,sig:06,src:001502,op:havoc,rep:4 | 
13041 | 1fef566 | 9 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_9/crashes/id:000000,54903565,sig:06,src:003044,op:havoc,rep:4 | 
13041 | 1fef566 | 10 | bug_Aborted^Aborted | X | /clever/fuzz/waflgo/out/waflgo_micropython_1fef566_10/crashes/id:000000,20823813,sig:06,src:001197,op:flip2,pos:759 | 
17733 | 5e9189d | 1 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_1/queue/id:001324,6925393,src:000007,op:arith8,pos:2678,val:-5,+cov | 
17733 | 5e9189d | 2 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_2/queue/id:001359,6987959,src:000007,op:arith8,pos:2678,val:-5,+cov | 
17733 | 5e9189d | 3 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_3/queue/id:001325,6993025,src:000007,op:arith8,pos:2678,val:-5,+cov | 
17733 | 5e9189d | 4 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_4/queue/id:001353,6954935,src:000007,op:arith8,pos:2678,val:-5,+cov | 
17733 | 5e9189d | 5 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_5/queue/id:001338,6989362,src:000007,op:arith8,pos:2678,val:-5,+cov | 
17733 | 5e9189d | 6 | none | D | /clever/fuzz/waflgo/out/waflgo_micropython_5e9189d_6/queue/id:001333,7091636,src:000007,op:arith8,pos:2678,val:-5,+cov | 
