file,scenario,git_info,max_iter,LLM,LLM_temp,NOFEEDBACK,GENCMD,RUNFUZZ,subject,commit,final_result,unintended_bug,time,iid,score,success
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,160,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,191,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,184,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,205,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,160,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,200,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,155,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,205,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,155,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,209,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,165,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,202,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,153,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,204,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,170,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,199,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,149,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,196,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,181,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,201,5153,1,0
