proj,scenario,iid,commit,msgwords,msgchars,difflines,diffchars
mujs,BIC,65,8c27b12,4,41,66,1574
mujs,BIC,141,832e069,86,618,237,6044
mujs,BIC,145,4c7f6be,28,187,102,3553
mujs,BIC,166,3f71a1c,89,537,610,16871
mujs,FIX,65,833f82c,8,66,15,465
mujs,FIX,141,6871e5b,9,62,27,914
mujs,FIX,145,f93d245,2,14,13,411
mujs,FIX,166,8b5ba20,20,124,140,3834
libxml2,BIC,535,9a82b94,24,175,837,25762
libxml2,BIC,550,74c84a8,11,80,141,4485
libxml2,BIC,553,1406b20,5,47,315,12197
libxml2,BIC,720,14604a4,9,74,34,1227
libxml2,BIC,841,9cfc723,16,108,466,14024
libxml2,FIX,535,d0c3f01,57,381,13,501
libxml2,FIX,550,6273df6,57,381,22,634
libxml2,FIX,553,db21cd5,17,127,77,2669
libxml2,FIX,720,3ad7f81,14,104,13,451
libxml2,FIX,841,dc6270d,10,75,20,582
poppler,BIC,1282,3d35d20,30,198,45,1419
poppler,BIC,1289,3cae777,8,50,65,2442
poppler,BIC,1303,e674ca6,66,398,384,23143
poppler,BIC,1305,aaf2e80,46,283,60,1991
poppler,BIC,1381,245abad,44,262,191,5814
poppler,FIX,1282,4564a00,6,36,60,3193
poppler,FIX,1289,efb6868,6,42,42,1756
poppler,FIX,1303,a4ca3a9,11,67,15,517
poppler,FIX,1305,907d05a,18,95,13,518
poppler,FIX,1381,1be35ee,21,137,165,6662
jerryscript,BIC,5013,b7e3bae,12,143,630,26969
jerryscript,BIC,5138,70e275e,21,257,3291,139757
jerryscript,BIC,5117,53b61c1,15,186,519,23399
jerryscript,BIC,5153,70e275e,21,257,3291,139757
jerryscript,FIX,5013,3686410,13,152,40,2216
jerryscript,FIX,5138,95cc5e9,31,312,28,1037
jerryscript,FIX,5117,d7e2125,15,157,42,1878
jerryscript,FIX,5153,de51531,21,192,13,535
z3,BIC,6659,0f3c562,14,122,2884,92633
z3,BIC,6914,a62e4b2,185,1193,85,3268
z3,BIC,7246,dec87fe,6,49,26,882
z3,BIC,7252,a7b1db6,51,319,623,26097
z3,FIX,6659,a849a29,2,10,13,754
z3,FIX,6914,eea9c0b,2,10,16,605
z3,FIX,7246,49610f5,6,67,13,505
z3,FIX,7252,a6b5027,6,67,67,2944
php-src,BIC,16777,5cb38e9,28,200,133,4743
php-src,BIC,16978,8c704ab,14,178,646,25190
php-src,BIC,17442,998bce1,7,43,106,4397
php-src,BIC,17463,7904a08,29,197,360,13157
php-src,FIX,16777,18b18f0,20,115,28,777
php-src,FIX,16978,d17ed34,25,175,12,565
php-src,FIX,17442,b068c2f,11,74,233,6562
php-src,FIX,17463,e4473ab,9,88,17,580
jq,BIC,2825,680baef,17,128,101,3241
jq,BIC,2976,680baef,17,128,101,3241
jq,BIC,3262,0e067ef,8,60,220,7677
jq,BIC,49014,4003202,83,543,86,2817
jq,FIX,2825,3fa10e8,58,321,13,439
jq,FIX,2976,71c2ab5,69,523,13,434
jq,FIX,3262,de21386,40,279,182,5926
jq,FIX,49014,499c91b,7,51,36,1502
micropython,BIC,13007,4c93955,138,841,322,10291
micropython,BIC,13041,1fef566,13,118,40,1304
micropython,BIC,17733,5e9189d,121,804,50,2391
micropython,BIC,17815,69ead7d,208,1428,278,10808
micropython,BIC,17841,e702046,22,170,116,4375
micropython,BIC,17847,7e14680,75,513,313,11765
micropython,FIX,13007,f397a3e,42,293,13,523
micropython,FIX,13041,908ab1c,152,979,280,10230
micropython,FIX,17733,3185bb5,113,738,60,3213
micropython,FIX,17815,c0252d7,32,223,19,581
micropython,FIX,17841,4b013ec,55,397,13,519
micropython,FIX,17847,0615d13,44,309,35,1525
